376,264,423,327,1
377.13,265.33,421.9,325.28,0.95881
375.6,263.65,419.19,322.05,0.87227
379.67,265.33,419,318,0.71457
376,252,423,315,0.74763
378.5,251.66,426.67,316.2,0.73405
379.14,254.25,429.12,321.15,0.65982
378.35,261.48,430.86,331.68,0.68567
377.38,265.87,430.24,336.55,0.69143
376.35,270.85,429.14,341.39,0.64062
373.68,280.5,425.65,349.96,0.64327
370.84,285.02,423.03,354.76,0.50637
367.04,288.96,420.88,360.88,0.61012
365.23,294.62,418.43,365.7,0.53185
363.24,296.6,416.99,368.41,0.40884
363.44,299.38,416.3,370.02,0.40466
362.9,301.09,414.49,370.06,0.41235
362.39,300.32,414.61,370.12,0.40874
361.53,297.32,413.65,366.98,0.46186
358.74,287.85,411.69,358.62,0.56445
357.58,280.02,410.03,350.12,0.54974
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
356,275.5,413,351.5,0.50568
357.49,284.06,415.08,360.84,0.52918
358.89,292.12,417.69,370.54,0.55618
359.12,294.22,418.87,373.94,0.54911
359.59,295.59,419.61,375.69,0.55848
359.85,296.25,419.68,376.09,0.57119
359.67,298.21,419.19,377.62,0.58657
359.94,298.02,419.44,377.42,0.57822
359.56,296.66,419.91,377.23,0.58578
359.87,296.3,420.12,376.73,0.62121
